phenotype	true_marker	peak_marker	max_lod	cutoff	non_missing_count	type	pos	chr	pos1	pos2	midpos	gchr	gpos1	gpos2	gposmid
X1_17570000_17575000	2_2365	c2.loc141	4.40764037887264	2.82912077552648	68	Y	2-18264474_2-19232740	2	18264474	19232740	18748607	1	17570000	17575000	17572500
X1_17590000_17595000	2_2365	c2.loc141	3.17567735090115	2.91948072904285	68	Y	2-18264474_2-19232740	2	18264474	19232740	18748607	1	17590000	17595000	17592500
X1_17595000_17600000	2_2365	2_2365	3.46165210548706	2.86695372333063	68	Y	2-18264474_2-19232740	2	18264474	19232740	18748607	1	17595000	17600000	17597500
X1_18055000_18060000	2_2365	c2.loc141	4.24651077971785	3.09692074480998	68	Y	2-18264474_2-19232740	2	18264474	19232740	18748607	1	18055000	18060000	18057500
X1_18640000_18645000	2_2365	c2.loc141	3.21721309846709	2.83545462631135	68	Y	2-18264474_2-19232740	2	18264474	19232740	18748607	1	18640000	18645000	18642500
X1_19395000_19400000	2_2365	2_2365	4.6005375628827	2.97806787463782	68	Y	2-18264474_2-19232740	2	18264474	19232740	18748607	1	19395000	19400000	19397500
X1_21295000_21300000	2_2365	c2.loc141	5.64424462860389	3.04716105027491	68	Y	2-18264474_2-19232740	2	18264474	19232740	18748607	1	21295000	21300000	21297500
X1_21305000_21310000	2_2365	c2.loc141	6.59252886412453	3.02533301543035	68	Y	2-18264474_2-19232740	2	18264474	19232740	18748607	1	21305000	21310000	21307500
X1_2230000_2235000	2_2365	2_2365	9.07815858905772	3.02507519539894	68	Y	2-18264474_2-19232740	2	18264474	19232740	18748607	1	2230000	2235000	2232500
X1_24455000_24460000	2_2365	c2.loc141	3.76020299611692	2.91523671752368	68	Y	2-18264474_2-19232740	2	18264474	19232740	18748607	1	24455000	24460000	24457500
X1_24840000_24845000	2_2365	c2.loc141	6.47694209365778	2.8624278068562	68	Y	2-18264474_2-19232740	2	18264474	19232740	18748607	1	24840000	24845000	24842500
X1_25785000_25790000	2_2365	2_2365	1.76097448545855	1.63534065396294	68	Y	2-18264474_2-19232740	2	18264474	19232740	18748607	1	25785000	25790000	25787500
X1_27070000_27075000	2_2365	2_2365	2.20248757099336	2.07852713217757	68	Y	2-18264474_2-19232740	2	18264474	19232740	18748607	1	27070000	27075000	27072500
X1_6010000_6015000	2_2365	c2.loc141	5.46919803413977	2.7467837303702	68	Y	2-18264474_2-19232740	2	18264474	19232740	18748607	1	6010000	6015000	6012500
X1_6705000_6710000	2_2365	2_2365	4.61224191937583	2.91231395505931	68	Y	2-18264474_2-19232740	2	18264474	19232740	18748607	1	6705000	6710000	6707500
X1_8390000_8395000	2_2365	c2.loc141	8.24806829820513	3.0414002299379	68	Y	2-18264474_2-19232740	2	18264474	19232740	18748607	1	8390000	8395000	8392500
X1_8595000_8600000	2_2365	2_2365	2.03905470088222	1.90720367548757	68	Y	2-18264474_2-19232740	2	18264474	19232740	18748607	1	8595000	8600000	8597500
X3_10505000_10510000	2_2365	2_2365	3.45888673258018	2.8374318018185	68	Y	2-18264474_2-19232740	2	18264474	19232740	18748607	3	10505000	10510000	10507500
X3_1055000_1060000	2_2365	2_2365	2.34675376767865	2.17615621731318	68	Y	2-18264474_2-19232740	2	18264474	19232740	18748607	3	1055000	1060000	1057500
X3_10700000_10705000	2_2365	c2.loc141	4.89000959169337	3.02687122387331	68	Y	2-18264474_2-19232740	2	18264474	19232740	18748607	3	10700000	10705000	10702500
X3_10820000_10825000	2_2365	2_2365	5.56926299027308	2.9779009498729	68	Y	2-18264474_2-19232740	2	18264474	19232740	18748607	3	10820000	10825000	10822500
X3_1215000_1220000	2_2365	2_2365	1.28418969637107	1.28418968651442	68	Y	2-18264474_2-19232740	2	18264474	19232740	18748607	3	1215000	1220000	1217500
X3_16510000_16515000	2_2365	2_2365	4.04172676619914	2.8089828690485	68	Y	2-18264474_2-19232740	2	18264474	19232740	18748607	3	16510000	16515000	16512500
X3_16740000_16745000	2_2365	2_2365	2.93074331058629	2.80992255595784	68	Y	2-18264474_2-19232740	2	18264474	19232740	18748607	3	16740000	16745000	16742500
X3_16770000_16775000	2_2365	2_2365	3.32067620447276	2.70988582616692	68	Y	2-18264474_2-19232740	2	18264474	19232740	18748607	3	16770000	16775000	16772500
X3_17660000_17665000	2_2365	c2.loc141	8.83151218472096	2.89883385205045	68	Y	2-18264474_2-19232740	2	18264474	19232740	18748607	3	17660000	17665000	17662500
X3_18170000_18175000	2_2365	2_2365	4.56768122908871	2.78620899565228	68	Y	2-18264474_2-19232740	2	18264474	19232740	18748607	3	18170000	18175000	18172500
X3_18350000_18355000	2_2365	2_2365	5.14160640438563	2.81012412364721	68	Y	2-18264474_2-19232740	2	18264474	19232740	18748607	3	18350000	18355000	18352500
X3_19555000_19560000	2_2365	2_2365	2.44275298265643	1.95987423546674	68	Y	2-18264474_2-19232740	2	18264474	19232740	18748607	3	19555000	19560000	19557500
X3_20200000_20205000	2_2365	c2.loc141	6.68566314248601	2.85933030977132	68	Y	2-18264474_2-19232740	2	18264474	19232740	18748607	3	20200000	20205000	20202500
X3_20205000_20210000	2_2365	c2.loc141	11.046225465488	2.92166450753704	68	Y	2-18264474_2-19232740	2	18264474	19232740	18748607	3	20205000	20210000	20207500
X3_21555000_21560000	2_2365	2_2365	0.917676586082081	0.873412698668413	68	Y	2-18264474_2-19232740	2	18264474	19232740	18748607	3	21555000	21560000	21557500
X3_2505000_2510000	2_2365	2_2365	3.00236172170227	2.42720605223894	68	Y	2-18264474_2-19232740	2	18264474	19232740	18748607	3	2505000	2510000	2507500
X3_2570000_2575000	2_2365	c2.loc141	3.98873187271846	2.80267255212211	68	Y	2-18264474_2-19232740	2	18264474	19232740	18748607	3	2570000	2575000	2572500
X3_8450000_8455000	2_2365	2_2365	3.34819993285089	2.68241602641323	68	Y	2-18264474_2-19232740	2	18264474	19232740	18748607	3	8450000	8455000	8452500
X3_8615000_8620000	2_2365	2_2365	4.15572874446175	3.01042574872117	68	Y	2-18264474_2-19232740	2	18264474	19232740	18748607	3	8615000	8620000	8617500
X3_8980000_8985000	2_2365	2_2365	4.58820393952487	2.54849815120903	68	Y	2-18264474_2-19232740	2	18264474	19232740	18748607	3	8980000	8985000	8982500
X3_9140000_9145000	2_2365	c2.loc141	5.98305147414349	2.94247366679244	68	Y	2-18264474_2-19232740	2	18264474	19232740	18748607	3	9140000	9145000	9142500
X4_16045000_16050000	2_2365	2_2365	7.92679098720666	2.97799703026599	68	Y	2-18264474_2-19232740	2	18264474	19232740	18748607	4	16045000	16050000	16047500
X4_16320000_16325000	2_2365	c2.loc141	6.41379557628966	2.95921122511657	68	Y	2-18264474_2-19232740	2	18264474	19232740	18748607	4	16320000	16325000	16322500
X4_17515000_17520000	2_2365	c2.loc141	4.27666407321855	2.97016291995778	68	Y	2-18264474_2-19232740	2	18264474	19232740	18748607	4	17515000	17520000	17517500
X4_17700000_17705000	2_2365	c2.loc141	4.27644341508421	2.85043220989134	68	Y	2-18264474_2-19232740	2	18264474	19232740	18748607	4	17700000	17705000	17702500
X4_17820000_17825000	2_2365	2_2365	5.92644642395443	3.1463743213796	68	Y	2-18264474_2-19232740	2	18264474	19232740	18748607	4	17820000	17825000	17822500
X4_17945000_17950000	2_2365	2_2365	2.99535853296774	2.94387998479983	68	Y	2-18264474_2-19232740	2	18264474	19232740	18748607	4	17945000	17950000	17947500
X4_2100000_2105000	2_2365	c2.loc141	3.73233546672593	2.96844550451825	68	Y	2-18264474_2-19232740	2	18264474	19232740	18748607	4	2100000	2105000	2102500
X4_4000000_4005000	2_2365	2_2365	12.5872356463167	2.82641843316817	68	Y	2-18264474_2-19232740	2	18264474	19232740	18748607	4	4000000	4005000	4002500
X4_6350000_6355000	2_2365	2_2365	3.64676168043821	2.75854918611875	68	Y	2-18264474_2-19232740	2	18264474	19232740	18748607	4	6350000	6355000	6352500
X4_7280000_7285000	2_2365	c2.loc141	4.0601033381075	2.83249333774295	68	Y	2-18264474_2-19232740	2	18264474	19232740	18748607	4	7280000	7285000	7282500
X4_7360000_7365000	2_2365	2_2365	2.95358292639033	2.760141451111	68	Y	2-18264474_2-19232740	2	18264474	19232740	18748607	4	7360000	7365000	7362500
X4_8910000_8915000	2_2365	2_2365	2.39457989812162	2.31088139264081	68	Y	2-18264474_2-19232740	2	18264474	19232740	18748607	4	8910000	8915000	8912500
X5_10390000_10395000	2_2365	2_2365	4.27970872863148	2.86841945684793	68	Y	2-18264474_2-19232740	2	18264474	19232740	18748607	5	10390000	10395000	10392500
X5_10410000_10415000	2_2365	2_2365	5.72387328464664	2.76468651502144	68	Y	2-18264474_2-19232740	2	18264474	19232740	18748607	5	10410000	10415000	10412500
X5_10865000_10870000	2_2365	c2.loc141	2.81260532134102	2.8024426541696	68	Y	2-18264474_2-19232740	2	18264474	19232740	18748607	5	10865000	10870000	10867500
X5_11065000_11070000	2_2365	c2.loc141	3.56927349370341	2.83924618974085	68	Y	2-18264474_2-19232740	2	18264474	19232740	18748607	5	11065000	11070000	11067500
X5_11255000_11260000	2_2365	2_2365	4.5061140783902	2.81957725299723	68	Y	2-18264474_2-19232740	2	18264474	19232740	18748607	5	11255000	11260000	11257500
X5_11725000_11730000	2_2365	2_2365	7.40379763746516	2.8536388209778	68	Y	2-18264474_2-19232740	2	18264474	19232740	18748607	5	11725000	11730000	11727500
X5_13435000_13440000	2_2365	2_2365	4.14327880321895	2.63203160217729	68	Y	2-18264474_2-19232740	2	18264474	19232740	18748607	5	13435000	13440000	13437500
X5_13940000_13945000	2_2365	2_2365	3.53834605476818	2.75146394258484	68	Y	2-18264474_2-19232740	2	18264474	19232740	18748607	5	13940000	13945000	13942500
X5_14985000_14990000	2_2365	2_2365	4.62803175076169	2.83445662828766	68	Y	2-18264474_2-19232740	2	18264474	19232740	18748607	5	14985000	14990000	14987500
X5_15045000_15050000	2_2365	2_2365	5.3015450828215	3.03956690189263	68	Y	2-18264474_2-19232740	2	18264474	19232740	18748607	5	15045000	15050000	15047500
X5_17305000_17310000	2_2365	2_2365	2.68710092672413	2.61913228210227	68	Y	2-18264474_2-19232740	2	18264474	19232740	18748607	5	17305000	17310000	17307500
X5_18145000_18150000	2_2365	c2.loc141	3.44640853640668	2.9246577003463	68	Y	2-18264474_2-19232740	2	18264474	19232740	18748607	5	18145000	18150000	18147500
X5_18330000_18335000	2_2365	2_2365	3.00298281731718	2.66124095806769	68	Y	2-18264474_2-19232740	2	18264474	19232740	18748607	5	18330000	18335000	18332500
X5_20560000_20565000	2_2365	2_2365	6.3903203415183	2.94279347957996	68	Y	2-18264474_2-19232740	2	18264474	19232740	18748607	5	20560000	20565000	20562500
X5_20670000_20675000	2_2365	c2.loc141	3.05302085206297	2.65358978758841	68	Y	2-18264474_2-19232740	2	18264474	19232740	18748607	5	20670000	20675000	20672500
X5_21160000_21165000	2_2365	c2.loc141	5.65682097372651	2.82688056024423	68	Y	2-18264474_2-19232740	2	18264474	19232740	18748607	5	21160000	21165000	21162500
X5_21925000_21930000	2_2365	2_2365	11.1423355406247	2.89651256576564	68	Y	2-18264474_2-19232740	2	18264474	19232740	18748607	5	21925000	21930000	21927500
X5_22070000_22075000	2_2365	2_2365	2.88121804210557	2.08582053007552	68	Y	2-18264474_2-19232740	2	18264474	19232740	18748607	5	22070000	22075000	22072500
X5_24970000_24975000	2_2365	2_2365	6.53020009523058	2.41345437808953	68	Y	2-18264474_2-19232740	2	18264474	19232740	18748607	5	24970000	24975000	24972500
X5_2950000_2955000	2_2365	2_2365	3.98785504012139	2.35338255564117	68	Y	2-18264474_2-19232740	2	18264474	19232740	18748607	5	2950000	2955000	2952500
X5_495000_500000	2_2365	2_2365	7.07205675843326	2.69845533591959	68	Y	2-18264474_2-19232740	2	18264474	19232740	18748607	5	495000	500000	497500
X5_7715000_7720000	2_2365	2_2365	4.28174963099914	2.79899175925254	68	Y	2-18264474_2-19232740	2	18264474	19232740	18748607	5	7715000	7720000	7717500
X5_9370000_9375000	2_2365	2_2365	6.83781118664329	2.90150651021046	68	Y	2-18264474_2-19232740	2	18264474	19232740	18748607	5	9370000	9375000	9372500
